Attribute,Description,Field Type,Occurs,Required?,Source,Permitted Values
Line,,string,many,,https://www.hl7.org/fhir/datatypes-definitions.html#Address.line,
Postcode,,string,,,https://www.hl7.org/fhir/datatypes-definitions.html#Address.postalCode,
